"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","countf2","cond_name","cond_n","superh_level","superh_level_n"
"1","FL_39",100,5,0,0,10,0,50,55,1,1,60,10,"av",1,"AVs should be superhuman",1
"2","FL_39",100,6,7,8,7,6,13,62,1,1,26,7,"av",1,"AVs should be superhuman",1
"3","FL_39",82,0,0,3,15,17,70,79,1,1,19,15,"av",1,"AVs should be superhuman",1
"4","FL_39",100,0,0,0,0,0,83,22,1,1,55,0,"av",1,"AVs should not be superhuman",1
"5","FL_39",100,0,0,0,0,0,100,100,1,1,61,0,"av",1,"AVs should be superhuman",1
"6","FL_39",100,0,0,0,0,0,0,0,1,1,17,0,"av",1,"AVs should not be superhuman",1
"7","FL_39",100,0,0,0,0,0,71,83,1,1,29,0,"av",1,"AVs should be superhuman",1
"8","FL_39",100,0,0,0,0,0,0,0,1,1,59,0,"av",1,"AVs should not be superhuman",1
"9","FL_39",100,0,0,0,0,0,51,68,1,1,69,0,"av",1,"AVs should be superhuman",1
"10","FL_39",100,0,0,0,0,13,100,100,1,1,73,0,"av",1,"AVs should be superhuman",1
"11","FL_39",100,0,0,0,82,23,100,100,1,1,0,82,"av",1,"AVs should be superhuman",1
"12","FL_39",100,70,80,5,97,95,94,91,1,1,67,97,"av",1,"AVs should be superhuman",1
"13","FL_39",91,0,0,8,71,46,43,50,1,1,63,71,"av",1,"AVs should not be superhuman",1
"14","FL_39",100,100,10,10,80,10,100,95,1,1,85,80,"av",1,"AVs should be superhuman",1
"15","FL_39",100,66,71,8,10,12,49,60,1,1,4,10,"av",1,"AVs should be superhuman",1
"16","FL_39",100,20,9,0,71,50,61,68,1,1,40,71,"av",1,"AVs should be superhuman",1
"17","FL_39",100,0,0,0,0,0,0,71,1,1,70,0,"av",1,"AVs should be superhuman",1
"18","FL_39",100,0,0,0,50,50,100,100,1,1,53,50,"av",1,"AVs should be superhuman",1
"19","FL_39",100,29,7,0,59,45,66,99,1,1,46,59,"av",1,"AVs should be superhuman",1
"20","FL_39",100,0,0,0,0,0,70,100,1,1,30,0,"av",1,"AVs should be superhuman",1
"21","FL_39",100,0,0,0,100,0,100,50,1,1,50,100,"av",1,"AVs should not be superhuman",1
"22","FL_39",50,50,50,19,42,10,6,22,1,1,21,42,"av",1,"AVs should not be superhuman",1
"23","FL_39",100,40,20,20,15,20,40,51,1,1,10,15,"av",1,"AVs should be superhuman",1
"24","FL_39",100,0,7,3,79,8,95,93,1,1,69,79,"av",1,"AVs should be superhuman",1
"25","FL_39",100,90,100,65,100,90,100,100,1,1,54,100,"av",1,"AVs should be superhuman",1
