"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","mod","countf2","cond_name","cond_n","trust_level","trust_level_n"
"1","FL_39",100,13,14,22,6,22,1,22,1,1,50,48.8,6,"av",1,"Low trust in AVs",1
"2","FL_39",100,0,0,0,13,26,100,71,1,1,72,85.4,13,"av",1,"High trust in AVs",2
"3","FL_39",100,5,10,19,9,30,62,65,1,1,75,70,9,"av",1,"High trust in AVs",2
"4","FL_39",95,5,5,5,10,15,85,80,1,1,45,59,10,"av",1,"High trust in AVs",2
"5","FL_39",13,100,63,100,77,100,100,85,1,1,20,16.6,77,"av",1,"Low trust in AVs",1
"6","FL_39",100,10,25,15,1,65,70,90,1,1,50,58,1,"av",1,"High trust in AVs",2
"7","FL_39",100,0,0,0,0,0,0,49,1,1,62,70,0,"av",1,"High trust in AVs",2
"8","FL_39",100,10,20,35,20,95,100,100,1,1,25,37,20,"av",1,"Low trust in AVs",1
"9","FL_39",73,40,58,52,40,64,62,73,1,1,54,58,40,"av",1,"High trust in AVs",2
"10","FL_39",55,36,30,35,80,85,90,80,1,1,34,32.6,80,"av",1,"Low trust in AVs",1
"11","FL_39",100,0,0,10,0,5,40,70,1,1,10,15,0,"av",1,"Low trust in AVs",1
"12","FL_39",100,50,50,0,25,50,50,100,1,1,0,0,25,"av",1,"Low trust in AVs",1
"13","FL_39",100,21,19,28,51,59,77,51,1,1,54,57.2,51,"av",1,"High trust in AVs",2
"14","FL_39",100,0,0,0,0,50,100,50,1,1,70,56,0,"av",1,"High trust in AVs",2
"15","FL_39",100,100,30,91,65,61,62,86,1,1,42,53,65,"av",1,"High trust in AVs",2
"16","FL_39",96,7,6,8,32,3,78,77,1,1,23,30.6,32,"av",1,"Low trust in AVs",1
"17","FL_39",77,72,79,23,27,23,57,79,1,1,10,10.4,27,"av",1,"Low trust in AVs",1
"18","FL_39",100,0,0,0,92,50,100,50,1,1,0,15.4,92,"av",1,"Low trust in AVs",1
"19","FL_39",90,60,35,20,70,80,90,100,1,1,0,31,70,"av",1,"Low trust in AVs",1
"20","FL_39",100,100,60,75,100,91,100,100,1,1,20,36.4,100,"av",1,"Low trust in AVs",1
"21","FL_39",78,0,18,29,62,71,90,61,1,1,59,63.2,62,"av",1,"High trust in AVs",2
"22","FL_39",100,0,0,0,12,31,98,90,1,1,78,76.8,12,"av",1,"High trust in AVs",2
"23","FL_39",50,50,42,65,31,49,100,100,1,1,34,39.6,31,"av",1,"Low trust in AVs",1
"24","FL_39",100,0,0,0,8,6,90,90,1,1,20,26,8,"av",1,"Low trust in AVs",1
"25","FL_39",100,0,0,0,0,18,50,54,1,1,100,85.2,0,"av",1,"High trust in AVs",2
"26","FL_39",100,0,0,9,81,81,92,90,1,1,5,12.8,81,"av",1,"Low trust in AVs",1
"27","FL_39",100,25,0,0,15,20,20,75,1,1,75,77,15,"av",1,"High trust in AVs",2
"28","FL_39",89,0,8,0,8,0,91,29,1,1,97,83.2,8,"av",1,"High trust in AVs",2
"29","FL_39",98,100,93,92,100,100,100,100,1,1,0,18.8,100,"av",1,"Low trust in AVs",1
"30","FL_39",91,0,0,0,0,7,12,8,1,1,88,88.8,0,"av",1,"High trust in AVs",2
"31","FL_39",100,1,57,7,99,77,49,95,1,1,13,9.6,99,"av",1,"Low trust in AVs",1
"32","FL_39",100,20,0,0,20,50,50,70,1,1,60,60,20,"av",1,"High trust in AVs",2
"33","FL_39",100,0,0,0,0,0,0,75,1,1,65,78.6,0,"av",1,"High trust in AVs",2
"34","FL_39",40,60,83,73,78,99,100,75,1,1,41,59.6,78,"av",1,"High trust in AVs",2
"35","FL_39",85,80,13,12,11,68,66,68,1,1,71,84.2,11,"av",1,"High trust in AVs",2
"36","FL_39",87,10,10,39,3,59,28,37,1,1,0,0,3,"av",1,"Low trust in AVs",1
"37","FL_39",90,55,30,35,30,20,30,25,1,1,20,36,30,"av",1,"Low trust in AVs",1
"38","FL_39",95,2,10,8,78,34,43,86,1,1,16,29.8,78,"av",1,"Low trust in AVs",1
"39","FL_39",100,0,0,0,75,5,46,100,1,1,0,0,75,"av",1,"Low trust in AVs",1
"40","FL_39",100,0,0,0,80,0,86,80,1,1,65,79.4,80,"av",1,"High trust in AVs",2
"41","FL_39",100,0,0,0,18,0,66,100,1,1,100,100,18,"av",1,"High trust in AVs",2
"42","FL_39",90,40,0,90,30,60,90,90,1,1,85,81,30,"av",1,"High trust in AVs",2
"43","FL_39",100,6,3,9,50,18,68,84,1,1,88,81.2,50,"av",1,"High trust in AVs",2
"44","FL_39",100,3,5,0,50,3,6,95,1,1,15,36,50,"av",1,"Low trust in AVs",1
"45","FL_39",100,0,0,0,40,29,80,73,1,1,10,17,40,"av",1,"Low trust in AVs",1
"46","FL_39",81,5,27,13,80,87,100,78,1,1,3,2.4,80,"av",1,"Low trust in AVs",1
