"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","mod","countf2","cond_name","cond_n"
"1","FL_39",100,24,10,43,7,25,93,66,1,1,0,32.5333333333333,7,"av",1
"2","FL_39",100,0,3,2,20,1,100,95,1,1,5,24,20,"av",1
"3","FL_39",61,14,29,18,50,50,61,69,1,1,35,48,50,"av",1
"4","FL_39",100,10,5,0,80,92,100,100,1,1,0,25.2666666666667,80,"av",1
"5","FL_39",87,2,4,1,7,7,39,62,1,1,0,20.1333333333333,7,"av",1
"6","FL_39",100,0,0,0,0,0,100,100,1,1,0,15.7333333333333,0,"av",1
"7","FL_39",100,0,0,0,0,0,100,100,1,1,60,68,0,"av",1
"8","FL_39",63,88,80,86,74,65,69,84,1,1,64,70.4666666666667,74,"av",1
"9","FL_39",92,69,84,92,87,25,67,42,1,1,70,75.7333333333333,87,"av",1
"10","FL_39",94,43,100,39,59,98,50,94,1,1,25,37.1333333333333,59,"av",1
"11","FL_39",100,0,0,0,6,15,60,55,1,1,61,40.7333333333333,6,"av",1
"12","FL_39",42,61,60,50,64,60,60,87,1,1,50,50.6,64,"av",1
"13","FL_39",54,40,37,0,24,22,29,80,1,1,0,18.8,24,"av",1
"14","FL_39",100,0,0,0,0,0,60,65,1,1,0,29.6666666666667,0,"av",1
"15","FL_39",60,90,80,60,100,100,100,100,1,1,10,17.6666666666667,100,"av",1
"16","FL_39",80,21,15,18,30,20,78,80,1,1,40,49.6,30,"av",1
"17","FL_39",94,8,0,8,35,44,61,65,1,1,28,62.8,35,"av",1
"18","FL_39",100,0,0,0,0,0,100,15,1,1,0,24.8,0,"av",1
"19","FL_39",100,0,0,0,0,0,85,100,1,1,5,47.4666666666667,0,"av",1
"20","FL_39",36,72,72,74,70,71,69,66,1,1,61,56.1333333333333,70,"av",1
"21","FL_39",80,13,40,40,56,43,59,57,1,1,24,43.6,56,"av",1
"22","FL_39",100,0,50,0,0,0,50,100,1,1,71,39.7333333333333,0,"av",1
"23","FL_39",100,0,0,0,20,69,100,86,1,1,0,13.7333333333333,20,"av",1
"24","FL_39",100,30,20,15,60,50,0,100,1,1,75,30.3333333333333,60,"av",1
"25","FL_39",57,62,66,7,94,87,99,81,1,1,75,78.3333333333333,94,"av",1
"26","FL_39",100,0,9,0,30,19,20,62,1,1,8,41.4,30,"av",1
"27","FL_39",100,61,82,81,33,100,97,100,1,1,100,66.7333333333333,33,"av",1
"28","FL_39",100,0,0,0,0,0,10,60,1,1,40,82.3333333333333,0,"av",1
"29","FL_39",100,0,0,0,6,0,50,50,1,1,16,50.2666666666667,6,"av",1
"30","FL_39",0,0,0,0,12,0,100,100,1,1,85,68,12,"av",1
"31","FL_39",76,59,59,57,68,73,88,65,1,1,74,77.2,68,"av",1
"32","FL_39",0,0,95,95,5,20,100,100,1,1,1,21.4666666666667,5,"av",1
"33","FL_39",97,0,1,0,0,0,0,3,1,1,83,74.6666666666667,0,"av",1
"34","FL_39",100,0,0,0,9,10,0,50,1,1,50,69.4666666666667,9,"av",1
"35","FL_39",100,5,5,0,70,10,95,100,1,1,80,42,70,"av",1
"36","FL_39",97,23,8,6,50,50,78,85,1,1,1,49.3333333333333,50,"av",1
"37","FL_39",19,27,100,100,100,100,100,100,1,1,85,68.4666666666667,100,"av",1
"38","FL_39",82,100,77,44,80,78,70,70,1,1,78,70.6666666666667,80,"av",1
"39","FL_39",100,19,59,57,61,81,91,74,1,1,28,34.5333333333333,61,"av",1
