StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_sue_AV_1,vB_sue_AV_1,defective_AV_1,negligence_AV_1,counterfactual_AV_1,capability_AV_1,fault_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,punish_1_1,punish_2_1,punish_3_1,punish_4_1,punish_5_1,punish_6_1,punish_7_1,punish_8_1,punish_9_1,punish_10_1,punish_11_1,punish_12_1,punish_13_1,punish_14_1,punish_15_1,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,scales_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"How much do you agree: In general, I believe in the law of the talon ""an eye for an eye, and a tooth for a tooth."" - 1","How much do you agree: When crimes are premeditated, we should think more in terms of punishment than rehabilitation. - 1","‎How much do you agree: Our courts and judges have been too lenient, that is one reason we have so much crime in our country. - 1",How much do you agree: The death penalty should be mandatory in cases of premeditated murder. - 1,How much do you agree: A drunk person who causes an accident with injury should spend time in jail. - 1,"How much do you agree: In general, our courts have been more concerned with the rights of criminals than victims. - 1",How much do you agree: The Securities and Exchange Commission discovered that an employee was embezzling funds. That offender should be required to do more than just repay the stolen amount. - 1,"How much do you agree: We could avert further offenses, if first offenders were not given such light sentences. - 1","How much do you agree: We could reduce teen-age crime if parents would return to an old-fashioned ""spare the rod spoil the child"" attitude. - 1",How much do you agree: Prison is punishment and we lose sight of that fact when we overemphasize rehabilitation and therapy. - 1,How much do you agree: Universities and military academies should have a policy of automatically dismissing students who are caught cheating on examinations. - 1,How much do you agree: The death penalty is a strong deterrent to crime. - 1,How much do you agree: One who causes an accident with injury while driving in a reckless and irresponsible manner should spend no less than a year in jail. - 1,How much do you agree: A bricklayer was caught stealing materials which were later used on a personal project. That person should be required to do more than just repay the price of the bricks. - 1,How much do you agree: A stiff fine or brief jail sentence should be imposed on anyone who intentionally breaks a bottle on a public street or sidewalk. - 1,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?","Before this survey, how familiar were you with liability in autonomous vehicle accidents?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,FL_4 - Block Randomizer - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order,scales - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID147_1""}","{""ImportId"":""QID148_1""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_dj6xvsleJyUixjo_DO""}"
2022-05-23 09:04:42,2022-05-23 09:09:31,0,148.170.193.228,100,289,1,2022-05-23 09:09:32,R_2YVzxDgZbJyR683,,,,,36.3312,-92.3753,anonymous,EN,1,2,2,0,0,17.566,0,0,0,12.526,0,100,24,10,43,7,25,93,,,,,,,,,,,,,,,,66,1,1,0,59,20,4,34,23,84,8,0,26,72,0,18,80,60,12,2,2,,47,3,,FL_39,Q116|negligence_AV|vB_sue_AV|defective_AV|vA_sue_AV,Q122|fault_AV|capability_AV|counterfactual_AV,,,Q117|punish_3|punish_6|punish_2|punish_11|punish_9|punish_8|punish_4|punish_7|punish_14|punish_10|punish_12|punish_15|punish_13|punish_1|punish_5
2022-05-23 09:07:19,2022-05-23 09:09:55,0,71.76.98.28,100,156,1,2022-05-23 09:09:55,R_3HRiEiCm8EgpAgo,,,,,35.1362,-80.7673,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,27.209,0,0,0,10.795,0,76,79,79,64,95,66,83,80,,2,75,85,50,91,75,73,68,75,86,80,78,84,73,68,50,80,73,2,,38,5,,FL_40,,,Q90|vA_sue|negligence|defective|vB_sue,Q71|fault|counterfactual|capability,Q117|punish_10|punish_6|punish_11|punish_12|punish_2|punish_4|punish_3|punish_5|punish_8|punish_15|punish_9|punish_13|punish_7|punish_14|punish_1
2022-05-23 09:09:26,2022-05-23 09:15:29,0,73.75.215.208,100,362,1,2022-05-23 09:15:29,R_1nO9sJ4uEC5lGjG,,,,,41.8059,-89.7106,anonymous,EN,1,2,2,0,0,21.923,0,0,0,12.385,0,100,0,3,2,20,1,100,,,,,,,,,,,,,,,,95,1,1,5,0,0,0,50,0,100,5,0,0,65,10,10,100,15,15,10,1,,42,5,,FL_39,Q116|negligence_AV|vB_sue_AV|defective_AV|vA_sue_AV,Q122|fault_AV|capability_AV|counterfactual_AV,,,Q117|punish_12|punish_11|punish_2|punish_1|punish_9|punish_14|punish_10|punish_5|punish_7|punish_15|punish_8|punish_4|punish_6|punish_3|punish_13
2022-05-23 09:10:20,2022-05-23 09:16:37,0,66.61.65.139,100,376,1,2022-05-23 09:16:37,R_1DARKgtI1RPzNtR,,,,,41.4481,-82.0177,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,25.603,0,0,0,11.104,0,77,0,0,0,73,19,71,100,1,1,77,80,83,74,100,28,98,79,58,85,7,83,19,100,75,71,21,1,,42,5,,FL_40,,,Q90|vA_sue|vB_sue|defective|negligence,Q71|counterfactual|capability|fault,Q117|punish_10|punish_6|punish_13|punish_2|punish_5|punish_8|punish_11|punish_3|punish_4|punish_15|punish_9|punish_14|punish_1|punish_7|punish_12
2022-05-23 09:19:13,2022-05-23 09:22:41,0,172.73.115.122,100,208,1,2022-05-23 09:22:42,R_1fkmNoeIPwxnoqc,,,,,35.3135,-81.5599,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,12.882,0,4.787,4.787,10.721,1,100,0,0,8,31,41,50,91,,1,0,26,16,0,81,10,64,2,0,10,12,0,50,37,14,61,28,2,,34,4,,FL_40,,,Q90|defective|negligence|vB_sue|vA_sue,Q71|fault|capability|counterfactual,Q117|punish_11|punish_1|punish_5|punish_9|punish_8|punish_15|punish_6|punish_2|punish_7|punish_3|punish_4|punish_10|punish_13|punish_14|punish_12
2022-05-23 09:20:01,2022-05-23 09:23:18,0,68.202.175.233,100,196,1,2022-05-23 09:23:18,R_O760e8A0JA4ifsd,,,,,29.1281,-82.2975,anonymous,EN,1,2,2,0,0,14.357,0,0,0,11.02,0,61,14,29,18,50,50,61,,,,,,,,,,,,,,,,69,1,1,35,69,33,50,70,38,60,41,50,50,51,70,18,50,35,67,50,1,,27,1,,FL_39,Q116|vB_sue_AV|negligence_AV|vA_sue_AV|defective_AV,Q122|counterfactual_AV|fault_AV|capability_AV,,,Q117|punish_2|punish_7|punish_10|punish_12|punish_11|punish_15|punish_13|punish_4|punish_14|punish_6|punish_1|punish_3|punish_9|punish_8|punish_5
2022-05-23 09:12:11,2022-05-23 09:23:24,0,72.224.56.160,100,673,1,2022-05-23 09:23:25,R_6eS6oFY72JiJkxr,,,,,42.7008,-73.8601,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,46.533,0,0,0,19.71,0,45,65,39,38,69,66,38,59,1,1,69,62,77,69,69,66,61,66,42,68,74,63,35,42,41,42,37,2,,25,5,,FL_40,,,Q90|defective|vB_sue|negligence|vA_sue,Q71|counterfactual|fault|capability,Q117|punish_2|punish_11|punish_13|punish_5|punish_6|punish_15|punish_4|punish_10|punish_7|punish_14|punish_12|punish_9|punish_8|punish_3|punish_1
2022-05-23 09:23:51,2022-05-23 09:31:47,0,97.65.135.106,100,476,1,2022-05-23 09:31:48,R_3M4D6RziKli6jNg,,,,,38.9893,-77.1586,anonymous,EN,1,2,2,0,0,11.394,0,0,0,15.001,0,100,10,5,0,80,92,100,,,,,,,,,,,,,,,,100,1,1,0,15,0,0,100,0,100,5,0,0,0,0,79,80,0,60,55,1,,30,5,,FL_39,Q116|vA_sue_AV|defective_AV|negligence_AV|vB_sue_AV,Q122|counterfactual_AV|fault_AV|capability_AV,,,Q117|punish_14|punish_10|punish_8|punish_5|punish_11|punish_1|punish_6|punish_15|punish_9|punish_2|punish_7|punish_4|punish_13|punish_12|punish_3
